SMILES1,SMILES,INCHIKEY
[2H][C@@](C)(NC(=O)COC(F)F)c1cc(F)cc(Cl)c1COc2cccc3c(cc(C)nc23)-c4ncnn4C,[2H][C@@](C)(NC(=O)COC(F)F)c1cc(F)cc(Cl)c1COc2cccc3c(cc(C)nc23)-c4ncnn4C,ZTCLCSCHTACERP-WTDRUJNCSA-N
[2H][C@@](N)(CO)C(O)=O,[2H][C@@](N)(CO)C(O)=O,MTCFGRXMJLQNBG-LIIDHCAMSA-N
[2H]C([2H])([2H])N(C([2H])([2H])[2H])C([2H])([2H])C([2H])([2H])c1c[nH]c2cccc(O)c12,[2H]C([2H])([2H])N(C([2H])([2H])[2H])C([2H])([2H])C([2H])([2H])c1c[nH]c2cccc(O)c12,SPCIYGNTAMCTRO-HXOHQZFQSA-N
[2H]C1([2H])[C@H]2C[C@@H](Oc3ccc(cn3)C(F)(F)F)[C@H](C2)N1C(=O)c4cccc(F)c4-c5ncccn5,[2H]C1([2H])[C@H]2C[C@@H](Oc3ccc(cn3)C(F)(F)F)[C@H](C2)N1C(=O)c4cccc(F)c4-c5ncccn5,HUKWIAXQBOHZIX-JEBQAFNWSA-N
[2H]C1([2H])C([C@@H](CC#N)n2cc(cn2)-c3ncnc4[nH]ccc34)C([2H])([2H])C([2H])([2H])C1([2H])[2H],[2H]C1([2H])C([C@@H](CC#N)n2cc(cn2)-c3ncnc4[nH]ccc34)C([2H])([2H])C([2H])([2H])C1([2H])[2H],HFNKQEVNSGCOJV-FBXGHSCESA-N
[68Ga+3].[H][C@]1(CC(F)(F)CN1C(=O)CNC(=O)c2ccnc3ccc(cc23)N(C)CCCN4CCN(CC4)C(=O)CN5CCN(CC([O-])=O)CCN(CC([O-])=O)CCN(CC([O-])=O)CC5)C#N,[68Ga+3].[H][C@]1(CC(F)(F)CN1C(=O)CNC(=O)c2ccnc3ccc(cc23)N(C)CCCN4CCN(CC4)C(=O)CN5CCN(CC([O-])=O)CCN(CC([O-])=O)CCN(CC([O-])=O)CC5)C#N,YRZMUMGVTRNFAJ-DJJSLDLFSA-K
[68Ga+3].[H][C@]2(Cc1ccc(NC(N)=O)cc1)NC(=O)[C@H](Cc3ccc(NC(=O)[C@@H]4CC(=O)NC(=O)N4)cc3)NC(=O)[C@@H](CSSC[C@H](NC(=O)[C@@]([H])(NC(=O)[C@H](CCCCN)NC2=O)[C@@H](C)O)C(=O)N[C@H](Cc5ccc(O)cc5)C(N)=O)NC(=O)[C@H](Cc6ccc(Cl)cc6)NC(=O)CCC(N7CCN(CC([O-])=O)CCN(CC([O-])=O)CC7)C([O-])=O,[68Ga+3].[H][C@]2(Cc1ccc(NC(N)=O)cc1)NC(=O)[C@H](Cc3ccc(NC(=O)[C@@H]4CC(=O)NC(=O)N4)cc3)NC(=O)[C@@H](CSSC[C@H](NC(=O)[C@@]([H])(NC(=O)[C@H](CCCCN)NC2=O)[C@@H](C)O)C(=O)N[C@H](Cc5ccc(O)cc5)C(N)=O)NC(=O)[C@H](Cc6ccc(Cl)cc6)NC(=O)CCC(N7CCN(CC([O-])=O)CCN(CC([O-])=O)CC7)C([O-])=O,LCHQKCSUBRDBKC-AMIDDMQRSA-K
[Br-].CCOC(=O)C[N+]1(C)CC[C@H](C1)OC(=O)[C@@](O)(C2CCCC2)c3ccccc3,[Br-].CCOC(=O)C[N+]1(C)CC[C@H](C1)OC(=O)[C@@](O)(C2CCCC2)c3ccccc3,FIAFMTCUJCWADZ-JOFREBOKSA-M
[C-]#[O+],[C-]#[O+],UGFAIRIUMAVXCW-UHFFFAOYSA-N
[C-]#[O+],[C-]#[O+],UGFAIRIUMAVXCW-UHFFFAOYSA-N
[C-]#[O+],[C-]#[O+],UGFAIRIUMAVXCW-UHFFFAOYSA-N
[C-]#[O+],[C-]#[O+],UGFAIRIUMAVXCW-UHFFFAOYSA-N
[C-]#[O+],[C-]#[O+],UGFAIRIUMAVXCW-UHFFFAOYSA-N
[C-]#[O+],[C-]#[O+],UGFAIRIUMAVXCW-UHFFFAOYSA-N
[C-]#[O+],[C-]#[O+],UGFAIRIUMAVXCW-UHFFFAOYSA-N
[C-]#[O+],[C-]#[O+],UGFAIRIUMAVXCW-UHFFFAOYSA-N
[C-]#[O+],[C-]#[O+],UGFAIRIUMAVXCW-UHFFFAOYSA-N
[C-]#[O+],[C-]#[O+],UGFAIRIUMAVXCW-UHFFFAOYSA-N
[C-]#[O+],[C-]#[O+],UGFAIRIUMAVXCW-UHFFFAOYSA-N
